2017-03-10T17:45:57.447685 Beam Pointing
time	x0	y0
19.868	965.35	502.42
20.017	965.21	502.52
20.160	965.57	502.31
20.291	966.06	502.44
20.425	965.85	501.65
20.555	966.24	501.35
20.688	966.08	501.59
20.822	966.26	501.63
20.965	966.32	501.71
21.116	966.10	501.77
21.253	965.88	501.89
21.387	965.81	501.89
21.520	965.73	501.63
21.652	965.45	501.99
21.787	965.40	502.04
21.928	965.92	501.92
22.075	965.49	502.25
22.213	965.15	501.90
22.344	965.63	502.05
22.477	965.54	501.97
22.609	965.81	502.05
22.742	965.72	502.11
22.876	965.64	501.88
23.026	966.09	501.97
23.177	966.18	501.99
23.313	966.63	502.53
23.450	966.56	502.91
23.586	967.05	503.06
23.724	967.29	503.12
23.863	967.44	503.67
24.015	967.58	503.79
24.155	967.52	503.85
24.289	967.18	503.48
24.425	967.16	503.00
24.562	966.92	503.07
24.697	966.71	502.86
24.833	966.38	502.70
24.968	966.69	502.78
25.106	966.61	502.89
25.255	966.95	502.39
25.394	966.94	502.52
25.540	966.52	502.33
25.696	966.30	502.20
25.840	966.50	502.08
25.977	966.08	502.09
26.118	966.18	501.87
26.256	966.57	501.74
26.396	966.44	501.99
26.546	966.07	502.09
26.704	966.04	501.89
26.850	965.15	502.00
26.991	966.00	501.86
27.132	966.35	501.94
27.273	966.52	501.59
27.413	966.22	501.51
27.554	966.13	501.53
27.694	965.88	501.67
27.834	965.82	501.46
27.975	966.06	501.66
28.121	965.77	501.46
28.265	965.54	501.35
28.409	965.44	501.29
28.555	965.04	501.31
28.696	964.86	501.39
28.858	964.84	501.66
29.005	965.75	501.38
29.158	966.08	501.52
29.307	965.43	501.11
29.452	965.71	501.25
29.600	965.83	501.58
29.743	965.94	501.15
29.910	965.95	502.00
30.054	966.20	502.70
30.201	966.29	502.51
30.348	966.19	502.66
30.496	966.40	502.75
30.646	966.63	502.48
30.791	966.27	502.96
30.937	966.21	503.14
31.083	966.18	503.31
31.230	966.17	503.47
31.381	965.71	503.35
31.539	965.42	503.44
31.698	965.98	503.73
31.846	965.74	504.06
31.994	966.53	503.95
32.143	966.00	503.73
32.294	965.64	504.11
32.448	965.33	504.43
32.615	966.54	503.92
32.767	966.54	494.58
32.922	967.07	490.81
33.076	967.12	488.08
33.230	966.47	485.99
33.383	966.16	484.10
33.548	964.51	486.24
33.709	964.93	496.44
33.864	965.12	500.06
34.018	965.99	504.06
34.173	966.46	511.88
34.324	966.06	515.29
34.477	965.88	517.91
34.632	966.58	520.84
34.788	967.69	524.42
34.943	967.40	529.98
35.098	967.79	546.92
35.269	967.93	555.90
35.429	968.39	563.00
35.586	968.43	567.14
35.741	968.93	579.44
35.894	969.16	581.90
36.053	968.82	581.61
36.232	969.12	581.81
36.396	969.56	581.57
36.562	969.37	581.73
36.726	969.81	581.42
36.892	969.02	581.73
37.050	969.67	580.35
37.208	968.92	580.54
37.366	968.21	581.53
37.526	968.68	582.35
37.684	968.01	582.31
37.854	966.98	580.60
38.027	968.55	581.43
38.189	961.70	582.49
38.346	936.76	582.50
38.503	925.15	583.32
38.665	916.57	583.68
38.847	909.99	582.67
39.027	904.62	582.91
39.189	916.30	581.23
39.410	934.59	581.47
39.572	973.35	581.69
39.736	988.58	581.45
39.904	1000.22	581.05
40.066	1012.88	580.34
40.229	1017.96	579.71
40.393	1021.47	579.71
40.557	1022.03	579.93
40.719	1028.98	579.35
40.884	1043.14	579.00
41.049	1054.93	578.63
41.211	1074.09	578.35
41.392	1081.00	577.97
41.570	1086.57	577.03
41.733	1087.37	577.56
41.896	1088.29	577.31
42.060	1088.11	576.98
42.224	1096.42	577.13
42.403	1110.54	577.42
42.568	1109.93	577.71
42.733	1109.24	578.09
42.899	1108.94	577.62
43.066	1109.58	577.20
43.234	1110.90	576.99
43.411	1111.65	577.28
43.575	1104.39	577.94
43.741	1103.88	577.43
43.919	1104.09	578.10
44.098	1104.75	578.50
44.266	1105.31	578.26
44.433	1104.18	577.55
44.597	1103.93	577.50
44.763	1103.81	576.67
44.945	1103.50	576.76
45.124	1102.87	577.12
45.292	1102.59	576.04
45.462	1102.37	576.28
45.631	1103.61	576.19
45.800	1104.13	576.31
45.973	1104.00	576.32
46.140	1104.44	577.40
46.308	1104.83	577.66
46.479	1104.67	577.03
46.663	1104.76	577.70
46.854	1104.98	578.39
47.028	1104.97	577.74
47.200	1104.23	577.17
47.370	1104.11	577.53
47.545	1103.81	577.53
47.728	1103.04	578.18
47.905	1103.39	578.27
48.078	1103.12	577.88
48.247	1103.26	576.99
48.420	1102.69	576.46
48.596	1103.44	576.09
48.767	1103.90	576.62
48.941	1103.28	576.68
49.118	1102.96	576.77
49.304	1102.92	577.40
49.490	1102.78	578.08
49.662	1103.11	577.47
49.841	1102.64	577.08
50.017	1103.39	577.31
50.191	1104.25	577.21
50.377	1104.41	577.04
50.552	1104.26	577.43
50.726	1104.29	576.92
50.902	1103.73	576.81
51.080	1104.43	576.24
51.257	1103.98	576.88
51.434	1104.47	576.47
51.608	1104.93	576.88
51.788	1104.40	576.81
51.974	1103.35	577.00
52.157	1103.85	577.02
52.334	1104.33	577.16
52.511	1104.31	576.91
52.690	1104.16	576.64
52.881	1103.94	576.59
53.074	1102.44	576.89
53.255	1102.36	576.90
53.432	1103.66	578.09
53.613	1103.43	578.47
53.794	1103.16	578.48
53.999	1104.07	577.06
54.180	1103.87	577.36
54.357	1104.08	577.33
54.540	1103.90	577.43
54.722	1104.43	577.55
54.902	1103.85	577.60
55.085	1104.28	577.68
55.263	1104.61	578.63
55.447	1104.22	578.25
55.645	1103.44	578.38
55.836	1103.43	578.65
